gene_id	transcript_id(s)	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12
1110038F14Rik	NM_054099	35.04	36.13	35.82	35.49	28.22	30.21	36.93	33.95	29.85	37.53	28.8	33
1110046J04Rik	NR_040707	0.52	0.49	0.37	1.94	1.08	2.85	1.24	1.03	2.81	5.43	9	3.94
1110051M20Rik	NM_175123	31.8	32.15	31.05	34.98	37.05	31.8	25.1	34.24	20.62	15.79	17.26	19.36
1110058D11Rik	NR_130982	0.63	0.2	0.45	0.91	0.56	0	2.41	0.72	0.86	1.28	1.92	3.43
1110059E24Rik	NM_025423	59.41	52.57	62.3	57.75	62.97	60.45	45.89	58.5	43.52	46.75	57.66	45.16
1110059G10Rik	NM_025419	9.49	8.32	10.3	8.68	9.44	8.47	6.63	8.59	7.74	7.32	9.11	7.75
1110065P20Rik	NM_001142727	36.38	48.07	50.25	60.58	50.06	56.86	33.1	47.66	46.74	28.44	36.54	35.32
1190002F15Rik	NR_037955,NR_037956	62.75	42.05	57.12	54.05	56.24	33.89	40.72	56.37	31.51	19.62	8.26	15.44
1190002N15Rik	NM_001033145	17.16	14.42	14.27	9.29	11.4	10.57	10.71	13	14.85	16.03	17.62	11.4
1190003K10Rik	NM_001195435	0	0.11	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	NM_197988	0.09	2.09	1.37	1.13	2.38	3.37	6.96	1.7	2.92	7.39	5.84	4.3
1190007I07Rik	NM_001135567,NM_001135568,NM_001135569	9.99	14.79	8.86	11.24	10.25	12.62	8.6	10.65	12.42	6.04	7.61	9.01
1200014J11Rik	NM_025818	17.21	13.58	15.38	13.41	14.41	12.06	12.96	13.43	10.49	10.67	11.53	10.08
1300002E11Rik	NR_037957,NR_037958	15.97	8.35	10.86	10.85	10	13.22	16.9	9.63	13.29	11.51	12.94	11.51
1300017J02Rik	NM_027918	1.88	0	0.11	0.04	0.49	0.16	0.22	0.69	5.97	0.12	0.07	1.07
1500004A13Rik	NR_015498	18.39	9	10.35	11.49	13.84	13.23	14.23	12.62	7.67	6.12	5.71	8.35
1500009C09Rik	NR_037697,NR_037698	9.4	8.93	7.79	9.61	11.32	5.99	1.32	7.89	3.17	1.74	1.89	1.5
1500009L16Rik	NM_001145198	36.47	27.71	38.15	38.77	57.56	49.93	33.98	43.03	31.53	17.92	28.32	28.2
1500011B03Rik	NR_027817,NR_027818	50.38	50.13	55.44	58.29	66.82	51.28	45.8	49.63	37.14	31.78	38.68	36.63
1500011K16Rik	NR_015476	30.06	34.96	33.71	34.06	31	35.47	31.94	29.31	54.31	35.41	43.67	29.08
1500012F01Rik	NM_001081005	75.31	64.41	70.08	74.08	64.99	67.93	59.28	72.94	48.83	57.19	57.42	61.6
1500012K07Rik	NR_045812,NR_045814	0	0	0	0	0	0	0.07	0.04	0	0	0	0
1500015A07Rik	NR_029432	10.48	10.67	10.01	8.54	9.18	9.99	11.74	11.93	8.76	7.16	7.44	8.96
1500015L24Rik	NR_045817	0	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	NM_024283	0.44	0.28	0.31	0.25	0.65	0.6	0.84	0.62	0.59	2.12	44.91	0.24
1500017E21Rik	NR_033510	0.56	0.09	0.37	0	0.25	0	0.29	0.2	3.3	0.65	0.13	0.14
1500026H17Rik	NR_130956	0.11	0.35	0.39	0.25	0.1	0.11	0.48	0.03	0.25	0.57	0.29	0.97
1600002D24Rik	NR_040484,NR_040485	0	0	0	0	0.06	0.5	0	0	0	0.15	0	0.1
1600002H07Rik	NM_028056	19.52	19.2	19.31	17.4	17.15	15.17	9.85	18.49	9.31	6.28	6.25	10.41
1600002K03Rik	NM_027207	11.8	12.04	11.76	10.14	9.68	11.43	10.28	10.18	15.41	13.73	15.87	10.62
1600010M07Rik	NR_037959	0	0.22	0.25	1.21	0	2.66	2.35	0.8	5.44	4.85	7.94	3.05
1600012H06Rik	NM_001083880,NM_001083881,NM_001083882,NM_026451	15.99	16.43	14.57	16.45	14.48	18.06	20.04	12.97	23.42	27.96	35.99	28.93
1600014C10Rik	NM_001085385,NM_028166	12.92	11.69	11.31	17.15	21.78	30.36	16.79	11.56	15.22	60.11	60.6	28.57
1600014C23Rik	NM_028164	0	0	0	0	0	0	0	0	0	0	0	0
1600014K23Rik	NM_028046	0	0	0	0	0	0	0	0	0	0	0	0
1600015I10Rik	NM_001081273	0	0	0	0	0	0	0	0	0.06	0	0.06	0
1600019K03Rik	NR_040481	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	NR_037960,NR_037961	13.37	12.31	14.18	18.13	17.1	15.36	26.06	12.04	12.45	17.55	21.44	19.72
1600023N17Rik	NR_073433	2.08	2.03	2.93	1.62	1.78	1.68	2.34	1.82	1.86	1.06	0.16	2.66
1600025M17Rik	NR_038168	0	0	0	0	0	0	0	0	0	0	0.36	0
1600027J07Rik	NR_036588	0	0	0	0	0	0	0	0	0	0	0	0
1600029I14Rik	NR_028123	0.23	0.58	0.16	0.26	0.67	0.47	0.43	0.13	0	0	0	0
1600029O15Rik	NR_033522	0	0.06	0.14	0.06	0	0.07	0	0	0.17	0.08	0.08	0
1700001C02Rik	NM_029285	0	0	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	NM_001172091,NM_029296	0.41	0.09	0.19	0.25	0	0	0.26	0.25	0	0.22	0	0.59
1700001D01Rik	NR_045475	0.4	0.25	0	0	0	0	0.38	0.22	0	0	0.34	0
1700001F09Rik	NM_027940	0	0	0	0	0	0	0	0	0	0.18	0	0
1700001G01Rik	NR_130158	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	NR_038077	1.05	0.67	0.56	1.51	1.56	1.99	1.26	0.6	1.66	1.48	1.6	1.43
1700001G17Rik	NR_033199	0.22	0.14	1.09	0.76	1.3	0.45	1.47	1.37	0.39	0.18	0.76	0.71
1700001J03Rik	NM_001008547	0.26	0	0	0	0	0	0	0.15	0	0	0	0
1700001J11Rik	NR_033613	0.14	0.04	0	0.08	0.16	0.14	0	0.04	0.06	0	0	0.08
1700001K19Rik	NM_025488	0.81	0.51	0.43	0.58	0.83	0.97	0.58	0.46	0.9	1.13	0.87	1.53
1700001K23Rik	NR_036590	0	0	0	0	0.58	0	0.93	0.55	0	0	0	0
1700001L05Rik	NR_027980	12.35	10.21	6.96	2.35	8.13	4.34	5.95	10.13	3.41	3.79	3.06	4.45
1700001L19Rik	NM_027035	0.87	0.06	0.55	0.56	0.29	0.53	1.39	0.66	1.21	0.39	0.84	0.74
1700001O22Rik	NM_198000,NR_028486,NR_028487	7.85	11.8	8.43	7.44	6.08	5.3	11.31	9.94	5.24	2.89	1.08	5.29
1700001P01Rik	NM_028156	0	0.44	0.24	0.4	1.23	0	0.99	0.59	0.31	0.28	0	0.37
1700003C15Rik	NR_045478	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	NR_045477	0	0	0	0	0	0	0	0	0.12	0.1	0	0
1700003E16Rik	NM_027948	0	0.05	0.18	0.15	0.25	0	0.73	0.24	0.75	0.34	0.44	0.83
1700003E24Rik	NR_103799,NR_103799_1	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	NM_029305	0.84	0.71	0.99	0.64	1.66	0.19	2.67	1.59	4.55	1.8	2.18	1.82
1700003G13Rik	NR_040720	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	NR_029433	0.35	0	0	0	0.21	0.24	1	0.2	0	0.56	0.3	0.38
1700003H04Rik	NR_015460	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22Rik	NR_126075,NR_126076	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	NR_040507	0	0	0	0	0	0	0	0	0	0	0	0
1700003M02Rik	NM_027041	0	0.06	0	0	0	0	0	0	0	0.08	0	0.11
1700003M07Rik	NR_040647,NR_040648	0.17	0	0	0.1	0.26	0.12	0.25	0.15	0.23	0.07	0.27	0.26
1700003P14Rik	NR_045982	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	NM_027939	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	NM_029287	0	0	0	0	0	0.2	0	0	0	0	0	0
1700006F04Rik	NR_045621	0	0	0	0	0	0.79	0	0	0	0	0	0.62
1700006H21Rik	NR_045900	0	0	0	0	0	0	0	0	0	0	0	0
1700007B14Rik	NM_001164235,NM_027944	0	0	0	0	0	0	0.08	0	0	0	0.07	0.18
1700007F19Rik	NR_040538	0	0	0	0	0	0	0	0	0.19	0.09	0.09	0.23
1700007G11Rik	NM_001024614	0	0.43	0.32	0.39	0.27	0.31	0.87	0	0.62	0.37	0.79	0.99
1700007J10Rik	NR_045476	0.51	0.43	0	0.1	0.4	0.23	0.48	0.38	0.45	0.94	0.44	0.73
1700007K09Rik	NM_027037	0	0	0	0	0.18	0	0	0	0	0	0	0
1700007K13Rik	NM_027040	0	0	0.18	0.14	0	0.17	0.24	0	0.45	0.6	0.86	0
1700007L15Rik	NR_045709	1.37	2.6	2.51	3.92	3.23	2.81	2.61	2.17	2.46	4.84	4.73	4.44
1700007P06Rik	NR_040554	0	0	0	0.42	0	0	0	0	0.22	0	0	0
1700008C04Rik	NR_126468	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	NR_024331	3.08	1.79	3	4.12	4.06	3.16	3.4	2.47	3.43	2.88	3.22	3.1
1700008K24Rik	NR_038141,NR_038142,NR_038143,NR_038144,NR_038145	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	NM_027049	0.64	0.68	0.45	0.61	0.25	0.15	0.61	0.6	0.57	0.51	0	1.39
1700008P02Rik	NM_027048	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	NR_046040	0	0	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	NR_015547	0.21	0	0	0	0	0.15	0	0	0	0.17	0	0.23
1700009N14Rik	NM_001081095	0	0	0	0	0	0	0	0	0	0	0	0.16
1700010B08Rik	NM_029308	0	0	0.15	0	0	0	0	0	0	0	0.19	0
1700010D01Rik	NM_029590	0	0	0	0	0	0	0	0	0	0	0	0
1700010I02Rik	NR_040587	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	NM_025851	0.74	1.12	0.99	1.07	1.04	1.28	1.78	0.79	0.91	1.18	1.44	1.41
1700010J16Rik	NR_040579	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	NR_040512	0	0	0	0	0	0.51	0	0	0	0	0	0
1700011A15Rik	NM_025487	0	0	0	0	0	0	0	0	0	0	0	0
1700011B04Rik	NR_045616	0	0	0	0.19	0	0	0	0	0.3	0.27	0	0
1700011C11Rik	NR_126462	0	0	0	0	0	0	0	0	0	0	0	0
1700011E24Rik	NM_029298	0	0	0	0	0	0.16	0.22	0	0	0.19	0	0
1700011H14Rik	NM_025956	0	3.42	0.11	0	0.09	0	0.15	0	0	0	0.14	0.17
1700011I03Rik	NM_029290	0	0	0	0	0	0	0	0	0.18	0.16	0	0
1700011L22Rik	NM_026315	0.2	0.12	0.14	0.34	0.12	0.13	0	0.22	0.35	0	0	0.21
1700011M02Rik	NR_073044	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	NM_029587	0	0	0	0	0	0	0	0.12	0	0	0	0
1700012B07Rik	NM_001162428,NM_027038	0	0	0	0	0	0	0	0	0	0.1	0	0
1700012B09Rik	NM_029306	0	0	0	0	0	0	0	0	0.28	0	0	0
1700012C14Rik	NR_131049	0.48	0	0	0.55	0	0	0	0	0	0	0	0
1700012D01Rik	NR_045171	0.3	0.57	0	0.17	0.53	1.65	2	0	1.08	1.45	2.86	1.62
1700012D14Rik	NR_015573	2.06	1.52	0.72	0.98	2.23	1.41	1.96	1.94	3.11	1.66	0.3	1.11
1700012D16Rik	NR_126464	0.77	0.49	1.08	0	0.23	0.53	2.92	0.22	1.05	1.24	2	0
1700012H19Rik	NR_130164	0	0	0	0	0	0	0	0	0	0	0	0
1700012I11Rik	NR_045140	0	0	0	0	0	0	0	0	0	0	0	0
1700012L04Rik	NM_029588	0	0	0	0	0	0	0	0	0	0	0	0.95
1700012P22Rik	NM_027056	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	NM_001177502	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	NM_029314	1.49	0.24	0.26	0.64	0.88	1.02	1.06	0.42	0.34	0.9	0.97	1.21
1700013G24Rik	NM_027063	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	NM_001200013	0	0.19	0	0	0	0	0.29	0.17	0	0	0	0
1700015E13Rik	NM_001039593	0.87	0.92	0.2	1	0.69	0.6	1.38	0.99	0	0.94	0.25	0.31
1700015F17Rik	NM_001200025	0	0.19	0.62	0.5	0	0	0.28	0.17	0	0	0	0
1700015G11Rik	NM_001195601	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	NM_027077	0	0.17	0	0	0.32	0	0	0	0	0	0	0
1700016D06Rik	NM_024271	0.29	0	0	0	0	0	0.14	0.08	0	0	0	0
1700016G22Rik	NR_045891	0	0	0.26	0	0.22	0	0	0	0	0	0	0.4
1700016H13Rik	NM_001163550,NM_028824	0	0.49	0.72	0.59	0.15	0.35	0.24	0.14	0	0.21	0.18	0.83
1700016K19Rik	NM_198637	0	0	0	0	0.12	0.29	0	0.12	0.57	0.17	0	0.23
1700016L04Rik	NR_045824	0	0	0.15	0	0.13	0	0.2	0.24	0	0	0.18	0
1700016L21Rik	NR_040460	0	0	0	0	0	0	0	0	0	0	0	0
1700016P04Rik	NR_038149	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	NM_028820	8.59	6.52	6.77	4.96	3.13	5.91	11.57	6.18	9.29	13.27	10.99	13.51
1700017D01Rik	NM_027058	0	0	0	0	0	0	0	0	0	0	0	0
1700017G19Rik	NR_040445	0	0	0	0	0	0	0	0.04	0	0	0.06	0
1700017J07Rik	NR_040326	0	0	0	0	0	0	0.49	0	0	0.42	0	0
1700017L05Rik	NR_131050	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	NM_001081246	0	0	0	0	0	0	0	0	0	0	0.18	0.11
1700018A04Rik	NR_029439	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	NM_029597	0.17	0	0.12	0	0	0	0.17	0	0	0	0	0
1700018B24Rik	NR_003617	0	0	0	0	0	0	0	0	0	0	0	0
1700018C11Rik	NM_029324	0	0	0	0.18	0	0	0	0	0	0	0	0
1700018F24Rik	NM_027069	0	0	0	0	0	0	0	0	0	0	0.14	0
1700018G05Rik	NR_045422	0	0	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	NR_028360	1.65	1.56	2.07	1.06	1.55	2.76	3	1.64	1.79	3.58	4.13	1.5
1700019A02Rik	NM_027070	0	0	0	0	0	0	0	0.19	0	0	0	0
1700019B03Rik	NM_029598	0.11	0.07	0	0	0.06	0.08	0.21	0.06	0	0.18	0.09	0.24
1700019B21Rik	NR_045442,NR_045443	0	0	0	0	0	0	0	0	0	0	0	0
1700019C18Rik	NR_126478	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik	NM_144953	0.24	0.3	0.5	0.27	0.84	1.14	2.72	0.94	1.07	4.2	2.67	3.35
1700019E08Rik	NR_040497	0	0	0.24	0	0	0	0	0	0	0.27	0	0.37
1700019G17Rik	NM_001145895,NM_029331	5	3.07	3.32	4.53	4.41	3.08	2.92	4.09	3.41	2.9	6.04	2.42
1700019G24Rik	NR_040255	0	0	0	0.26	0	0	0	0	0	0.37	0	0
1700019L03Rik	NM_025619	0.21	0	0	0.06	0.19	0.22	0.3	0.18	0.29	0.08	0.19	0.35
1700019M22Rik	NR_103800	0	0.23	0	0	0	0	0	0.21	0	0	0	0
1700019N19Rik	NM_026208	0	0.4	0.44	0.36	0	0	0.8	1.07	1.32	0.34	1.09	1.14
1700019O17Rik	NM_027966	0	0	0.07	0.06	0	0.07	0	0	0	0	0	0
1700020A23Rik	NM_001163483,NM_029375	0.89	0.28	0.31	1.27	0.35	0.2	0.56	0	0	0	0.38	0.95
1700020D05Rik	NM_023781	1.68	0.35	0.39	0.96	0.88	1.66	2.67	0.95	1.34	1.34	1.93	3.44
1700020D14Rik	NR_126545,NR_126545_1	0	0	0	0	0	0	0	0	0	0	0	0
1700020G17Rik	NR_045979	0	0	0	0	0	0	0	0	0	0	0	0
1700020I14Rik	NR_015473,NR_027832	41.03	26.93	31.41	26.64	31.99	33.41	42.06	27.85	55.72	47.06	55.95	44.16
1700020L24Rik	NM_025492	0.21	0	0	0	0.74	0.29	2.38	0	1.31	2.5	4.49	2.93
1700020M21Rik	NR_040742	0	0	0	0	0	0	0.32	0	0	0	0	0
1700020N01Rik	NR_027968	0	0	0.13	0	0	0.12	0.34	0	0.16	0.14	0.15	0
1700020N15Rik	NM_029316	0	0	0	0	0	0	0	0	0	0	0	0
1700020N18Rik	NR_026924	0	0	0	0	0	0	0.4	0	0	0.34	0	0
1700021F05Rik	NM_026411	49.06	51.84	47.66	38.11	40.66	37.68	42.05	42.1	46.01	37.43	48.42	34.11
1700021F07Rik	NM_028158	0	0	0	0	0	0	0	0	0	0	0	0
1700021K19Rik	NM_001200038,NM_172615	23.5	21.55	20.73	20.07	18.82	21.54	22.93	20.3	18.67	18.21	20.62	20.71
1700021N21Rik	NR_045800	0.22	0	0.15	0	0.13	0.15	0.41	0.12	0.19	0	0.19	0
1700022A21Rik	NR_003953	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	NR_045509	0	0	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	NR_040568	0	0	0	0	0	0	0	0	0	0	0	0
1700022H01Rik	NR_126477	1.23	0.39	0.86	0.35	0.54	1.68	0.29	0.52	0.28	0.25	0.27	0.33
1700022H16Rik	NR_045488	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	NM_026088	0.27	0.14	0.1	0.05	0.08	0.09	0.3	0.2	0.16	0.04	0.08	0.1
1700023C21Rik	NR_045909	0	0	0	0	0	0	0	0	0	0	0	0
1700023F02Rik	NR_038039	0	0	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	NM_001254724	0	0	0.33	0.44	0	0.21	0.15	0	0.28	0	0.13	0.17
1700024B18Rik	NR_045479	0	0	0	0	0	0	0	0	0	0	0	0
1700024F13Rik	NR_045363	0.95	1	0.44	1.09	0.37	0.43	1.5	0.89	0.29	0	0	0
1700024G13Rik	NM_001034037	0	0	0	0	0	0	0	0	0.63	0	0	0
1700024I08Rik	NR_126476	0	0	0	0	0	0	0	0	0	0	0	0
1700024N05Rik	NR_126471,NR_126472	0	0	0	0	0	0	0	0	0	0	0	0
1700024P04Rik	NM_027064	0	0	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	NM_001162980,NM_001285952,NM_001285953,NR_104376	0.55	0.28	0.31	0.13	0.29	0.23	0.21	0.34	0.39	0.43	0.33	0.12
1700025B11Rik	NR_040310	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	NR_033448	0	0	0	0.17	0	0	0	0	0	0	0	0
1700025F22Rik	NM_027074	0	0	0	0	0	0	0	0	0	0	0	0
1700025F24Rik	NR_040578	0	0	0	0	0	0	0	0	0.2	0	0	0
1700025G04Rik	NM_197990	10.48	6.67	7.49	7.64	7.6	7.21	7.81	8.06	7.63	5.34	5.02	6.29
1700025J12Rik	NR_131051	0	0	0	0.2	0.2	0	0	0	0	0	0	0
1700025K24Rik	NR_045825	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	NR_040687,NR_040688,NR_040689	0	0	0	0	0	0	0	0	0	0	0	0
1700025N23Rik	NR_040523	0.22	0	0	0.25	0	0.44	0.62	0.12	0	1.56	0.56	1.4
1700026D08Rik	NM_029335	0	0	0.1	0.16	0.08	0.19	0.13	0	0	0.11	0.37	0.15
1700026D11Rik	NR_028286	0	0	0	0	0	0	0	0	0	0	0	0
1700026F02Rik	NR_045487	0	0	0	0	0	0	0	0	0	0	0	0
1700026J14Rik	NR_130985	0.25	0	0.36	0	0.45	0.35	0.48	1.15	0	0	0	0.55
1700026L06Rik	NM_027283	1.26	1	0.22	1.08	1.86	3.01	2.69	0.18	3.98	7.61	8.44	6.12
1700027A15Rik	NR_038001,NR_038002	0	0	0	0	0	0	0	0	0.59	0	0	0
1700027F06Rik	NR_131162	0	0	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	NR_040681	0	0	0	0	0.16	0	0	0	0.24	0	0	0
1700027H10Rik	NR_040594	0.38	0	0	0.23	0	0.27	0	0	0	0.31	0	0.82
1700027I24Rik	NR_040741	0.3	0	0	0	0	0	0	0	0	0	0	0
1700027J07Rik	NR_040581	0	0.11	0	0	0.11	0	0	0	0	0	0	0
1700028B04Rik	NR_033605	0.41	0.26	0	0	0.24	0	0	0	0	0	0	0
1700028D13Rik	NR_045377,NR_045378	0	0	0	0	0.24	0	0	0	0	0	0	0
1700028E10Rik	NR_045699,NR_045700	0.74	0.39	0.14	0.29	0.15	0.29	0.4	0.05	0.22	0.56	0.14	0.49
1700028I16Rik	NR_038042	0	0	0	0	0	0.12	0.17	0	0	0	0	0
1700028J19Rik	NR_029436	0.16	0.3	0.66	0.36	0.37	0.21	0.6	0.27	0.28	0.5	0.54	0.34
1700028K03Rik	NM_175241,NM_182745	3.67	1.11	1	1.04	1.67	0.67	0.94	0.65	0.87	1.1	0.89	0.48
1700028M03Rik	NR_036591	0	0	0	0.3	0.62	0	0	0.89	0.48	0	0	0
1700028P14Rik	NM_026188	0	0	0	0	0	0	0	0	0	0	0	0
1700028P15Rik	NR_040509	0	0	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	NR_040531	0	0	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	NM_001080777,NM_001284205,NM_025585,NR_104276	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	NM_001080781,NM_025601	0	0	0	0	0	0.09	0	0	0	0.32	0	0
1700029I15Rik	NM_183112	0	0.51	0	0	0	0.54	2.26	1.34	0.75	1.32	0.7	0
