gene_id	logFC	logCPM	LR	PValue	FDR	FC	entrez_id
Cd84	-2.779140455	6.216248109	100.5335902	1.16e-23	5.25e-21	-6.864432507	12523
C3ar1	-3.004257744	6.579765141	100.2756258	1.33e-23	5.68e-21	-8.02364482	12267
Fxyd5	-3.263120845	4.910433856	100.2550686	1.34e-23	5.68e-21	-9.600575203	18301
Anxa2	-2.986827372	7.872653674	99.73244939	1.74e-23	7.18e-21	-7.927287897	12306
Cyth4	-2.945562247	5.876103949	98.77721938	2.83e-23	1.13e-20	-7.703757266	72318
Ccr1	-4.645565315	4.838180099	98.52770667	3.21e-23	1.25e-20	-25.02963444	12768
Ly6c1	-3.691553395	6.158249209	96.92893031	7.19e-23	2.72e-20	-12.92017222	17067
Ptrf	-2.770794011	6.865634405	96.71750824	8e-23	2.94e-20	-6.82483426	NA
Ccl2	-3.677831204	6.106219165	96.42137673	9.29e-23	3.33e-20	-12.79786461	20296
Clec4a1	-4.148977847	4.328314506	93.79252046	3.5e-22	1.23e-19	-17.74053789	269799
S100a8	-5.321625641	3.468402357	93.35840636	4.36e-22	1.49e-19	-39.99161507	20201
Ifi204	-3.574796598	7.490205718	92.66266778	6.2e-22	2.07e-19	-11.91573961	15951
Ccl12	-5.568428943	6.173462744	92.16435986	7.98e-22	2.6e-19	-47.45305099	20293
Apobec1	-2.77402579	6.588769304	92.07523543	8.34e-22	2.65e-19	-6.8401397	11810
Rnase4	-3.455029901	5.563397627	91.99987238	8.67e-22	2.7e-19	-10.96648973	58809
Emilin2	-3.389702621	5.646373492	91.93548585	8.95e-22	2.72e-19	-10.48098659	246707
Stom	-2.882604908	5.591571065	91.44775861	1.15e-21	3.39e-19	-7.374805023	13830
Pira11	-4.315298771	4.229216911	91.36552997	1.19e-21	3.39e-19	-19.90830888	18724
Cd36	-3.159331001	8.434165241	91.3579217	1.2e-21	3.39e-19	-8.934153243	12491
Fstl1	-2.960233016	8.53507283	91.33542855	1.21e-21	3.39e-19	-7.782496462	14314
Vwa5a	-3.06918045	6.712871205	91.00685985	1.43e-21	3.93e-19	-8.392964332	67776
Col5a3	-3.211630877	6.548613834	90.7788995	1.61e-21	4.32e-19	-9.263971896	53867
Mrc1	-4.133139037	7.957640854	90.70157576	1.67e-21	4.41e-19	-17.54683638	17533
Postn	-3.296637566	9.66770105	90.44466787	1.9e-21	4.93e-19	-9.826226991	50706
Ms4a6b	-3.452371357	6.018878868	89.65320146	2.84e-21	7.14e-19	-10.9462997	69774
Bcl2a1b	-3.27458633	4.134054259	89.63908826	2.86e-21	7.14e-19	-9.677177538	12045
Hspb1	-4.537724792	5.407591652	89.40552422	3.22e-21	7.9e-19	-23.2269013	15507
Tnfrsf1a	-3.08183458	5.422339052	89.2575422	3.47e-21	8.36e-19	-8.466904287	21937
Arpc1b	-2.821348283	7.272384835	88.134986	6.11e-21	1.45e-18	-7.068226556	11867
Rbp1	-3.027681456	4.383371204	87.77055598	7.35e-21	1.71e-18	-8.154980662	19659
Pira7	-8.472520385	1.921243274	87.71831099	7.55e-21	1.73e-18	-355.2080298	18730
Atp8b4	-3.97889149	3.961606722	87.53819276	8.27e-21	1.87e-18	-15.76760342	241633
Ifi202b	-3.251871398	7.254352352	87.16869118	9.96e-21	2.21e-18	-9.526005611	26388
Rab3il1	-2.781442747	5.117384415	87.13055443	1.02e-20	2.22e-18	-6.875395699	74760
Plac8	-3.881986041	6.962018056	86.90122191	1.14e-20	2.46e-18	-14.74328433	231507
Serpinh1	-2.637528145	8.048413566	86.657164	1.29e-20	2.74e-18	-6.222645871	12406
Nov	-3.937121431	4.014811349	86.56540526	1.35e-20	2.8e-18	-15.31763256	NA
Tlr4	-2.794099141	5.974605291	86.55009247	1.36e-20	2.8e-18	-6.935977129	21898
Ncf2	-2.887826476	5.284192481	85.61014054	2.19e-20	4.44e-18	-7.401545129	17970
Col5a2	-3.077483957	8.983737888	85.27871113	2.59e-20	5.18e-18	-8.44140976	12832
Anxa5	-2.467530091	7.364745863	84.93260573	3.09e-20	6.08e-18	-5.5309607	11747
Ahnak	-3.107856454	10.33654315	84.66033723	3.54e-20	6.89e-18	-8.621007338	66395
Fst	-3.276664449	4.128657256	84.03575996	4.86e-20	9.25e-18	-9.691127001	14313
Ccl6	-4.232619613	7.686494926	84.02340476	4.89e-20	9.25e-18	-18.79946385	20305
Fkbp9	-2.478609952	6.219420654	83.85720365	5.32e-20	9.86e-18	-5.573601868	27055
Lox	-3.316717114	7.514190525	83.84445595	5.35e-20	9.86e-18	-9.963945387	16948
Nrp1	-2.375193096	7.52059727	83.69021251	5.79e-20	1.05e-17	-5.188052562	18186
Cd53	-2.9274603	7.009064759	83.54326681	6.23e-20	1.12e-17	-7.607699702	12508
Il1r1	-2.985418107	5.224942652	83.32831777	6.95e-20	1.23e-17	-7.91954808	16177
Ms4a4c	-4.162782623	5.984986812	83.14594817	7.62e-20	1.33e-17	-17.91110727	64380
Medag	-4.036735413	4.518459838	83.08712349	7.85e-20	1.36e-17	-16.41264001	70717
Prss23	-2.814734371	6.699498741	82.49870563	1.06e-19	1.8e-17	-7.035897041	76453
Slfn4	-3.916358094	8.136262971	82.39451071	1.11e-19	1.88e-17	-15.09875925	20558
Emp3	-3.56913396	4.506416085	82.24174143	1.2e-19	2e-17	-11.86906151	13732
Emp1	-2.496420519	7.383855475	82.22732608	1.21e-19	2e-17	-5.642836385	13730
Fcgr3	-2.833131106	5.784859362	81.764441	1.53e-19	2.49e-17	-7.126190772	14131
Col14a1	-2.772940744	7.536912865	81.4651671	1.78e-19	2.87e-17	-6.834997188	12818
Vim	-2.876016719	9.771619023	81.28186641	1.96e-19	3.11e-17	-7.341204135	22352
Cd68	-2.622560454	6.734813766	79.68141393	4.4e-19	6.92e-17	-6.15842082	12514
C1qb	-2.717796886	8.078694594	79.00684398	6.19e-19	9.62e-17	-6.578674286	12260
Cx3cr1	-2.958028828	4.198810089	78.74447258	7.07e-19	1.06e-16	-7.770615236	13051
Mmp13	-3.088841324	6.309666499	78.72844844	7.13e-19	1.06e-16	-8.50812556	17386
Rab32	-3.091198742	4.738327674	78.7220022	7.15e-19	1.06e-16	-8.522039521	67844
Clec4a3	-3.057733174	4.757794252	78.72147335	7.15e-19	1.06e-16	-8.326632633	73149
Ccl7	-4.329797759	5.129191192	78.70383012	7.22e-19	1.06e-16	-20.10939481	20306
Lcp1	-2.860818953	7.831238669	78.53958747	7.84e-19	1.14e-16	-7.264275673	18826
Ctsc	-2.891836124	8.446399285	78.33616669	8.69e-19	1.25e-16	-7.42214468	13032
Lfng	-3.355708918	4.48389925	78.29460932	8.88e-19	1.27e-16	-10.23691368	16848
Thy1	-3.053702835	5.43484742	78.16003799	9.5e-19	1.34e-16	-8.303403659	21838
Mdfic	-2.579609382	5.939162996	78.06951546	9.95e-19	1.39e-16	-5.977778257	16543
Sparc	-2.815088572	9.502293483	78.04461508	1.01e-18	1.39e-16	-7.03762466	20692
Ifitm3	-3.355489867	7.278118772	78.0351048	1.01e-18	1.39e-16	-10.23535948	66141
Cd200r1	-3.357123285	4.302819166	77.98960835	1.04e-18	1.41e-16	-10.2469545	57781
Nckap1l	-2.858340274	7.066953754	77.97100374	1.05e-18	1.41e-16	-7.251805717	105855
Nrros	-3.096834784	5.490764784	77.94438755	1.06e-18	1.41e-16	-8.555396892	224109
F13a1	-4.62212726	7.372130583	77.65220656	1.23e-18	1.62e-16	-24.62628771	74145
Cd52	-3.56656434	5.550610425	77.49297131	1.33e-18	1.74e-16	-11.84794005	23833
Ctsl	-2.596689384	8.71332295	77.30588208	1.46e-18	1.9e-16	-6.048969492	13039
S100a9	-5.003242917	4.565795654	77.22386849	1.53e-18	1.96e-16	-32.07201111	20202
Vwf	-3.530211736	5.297994149	77.09486546	1.63e-18	2.07e-16	-11.55312902	22371
Itgb2	-2.840739375	6.58493677	77.0680815	1.65e-18	2.07e-16	-7.163871082	16414
Kif1c	-2.623118576	5.70394447	77.05845201	1.66e-18	2.07e-16	-6.160803732	16562
C1qa	-2.779870686	7.947791023	76.6263739	2.07e-18	2.56e-16	-6.867907867	12259
Mafb	-2.599230746	5.381552038	76.58412952	2.11e-18	2.59e-16	-6.059634369	16658
Htra1	-3.387891931	5.52924502	75.97041873	2.88e-18	3.5e-16	-10.46784042	56213
Vcan	-4.260952139	7.335196917	75.95341628	2.9e-18	3.5e-16	-19.1723083	13003
Pld4	-3.078941862	5.145322028	75.90700764	2.97e-18	3.56e-16	-8.449944478	104759
Loxl2	-3.267883078	6.855425956	75.57804206	3.51e-18	4.17e-16	-9.632318372	94352
Olfml2b	-2.51947493	5.669269669	75.42013347	3.8e-18	4.47e-16	-5.733733815	320078
Ctsh	-2.529316756	6.486917942	75.34044791	3.96e-18	4.62e-16	-5.772982114	13036
LOC100038947	-4.034068995	3.408421371	75.31653997	4.01e-18	4.64e-16	-16.38233386	NA
Ifi205	-4.08245187	5.120113076	75.21541558	4.22e-18	4.84e-16	-16.94105564	226695
Skap2	-2.542061914	5.164977311	75.15903569	4.34e-18	4.94e-16	-5.824208139	54353
Srgn	-3.442934967	5.931007829	74.88134254	5e-18	5.62e-16	-10.87493571	19073
Pla2g4a	-3.167885973	4.807823169	74.87241085	5.02e-18	5.62e-16	-8.987288866	18783
Gpx8	-2.668752638	4.650803602	74.74655833	5.35e-18	5.94e-16	-6.358791648	69590
Plek	-2.480045418	7.438612886	74.57079526	5.85e-18	6.45e-16	-5.579150301	56193
Fam114a1	-2.816679701	4.879742848	74.09072959	7.46e-18	8.16e-16	-7.045390641	68303
Slc37a2	-2.70763379	5.648107041	73.87616173	8.32e-18	9.02e-16	-6.532493525	56857
Dusp6	-2.726911012	5.847908863	73.83053032	8.51e-18	9.16e-16	-6.620366158	67603
Glrx	-2.76335074	5.444040215	73.7150945	9.02e-18	9.64e-16	-6.789713689	93692
Pcolce	-2.920962352	5.662115002	73.67221676	9.22e-18	9.78e-16	-7.57351141	18542
Spi1	-3.359648787	4.742508418	73.52571811	9.93e-18	1.05e-15	-10.26490796	20375
Fcer1g	-2.616964468	5.339051027	73.25515026	1.14e-17	1.19e-15	-6.134579547	14127
Col16a1	-3.217654227	5.364065178	73.10903168	1.23e-17	1.27e-15	-9.302730464	107581
Adgre1	-2.655702581	6.922099447	73.03400426	1.27e-17	1.3e-15	-6.301531859	13733
C5ar1	-4.26877181	3.807933648	73.03348807	1.27e-17	1.3e-15	-19.27650785	12273
Tlr8	-2.918370628	5.479309462	72.65002425	1.55e-17	1.57e-15	-7.559918222	170744
Fam129a	-2.931913771	5.019881809	72.20526917	1.94e-17	1.95e-15	-7.631220275	63913
Npl	-2.579810722	4.716836571	71.97274658	2.18e-17	2.18e-15	-5.978612565	74091
Thbs2	-3.147678888	6.396163359	71.96089784	2.2e-17	2.18e-15	-8.862286013	21826
Abca1	-2.616916031	9.256527683	71.9085189	2.25e-17	2.22e-15	-6.134373592	11303
Axl	-2.8152396	8.067243899	71.58597824	2.65e-17	2.6e-15	-7.03836143	26362
Tnfrsf1b	-2.810937448	5.33124088	71.4281342	2.88e-17	2.79e-15	-7.017404126	21938
Mgp	-2.795965113	7.088142593	71.37453558	2.95e-17	2.85e-15	-6.944953878	17313
Fes	-2.783524736	4.713352629	71.35973941	2.98e-17	2.85e-15	-6.885324914	14159
Mvp	-2.657716911	6.029667892	71.18151946	3.26e-17	3.1e-15	-6.310336374	78388
Tspo	-2.98463453	6.202107394	71.15273327	3.31e-17	3.13e-15	-7.915247869	12257
Pf4	-4.46059443	4.914082936	71.08847498	3.42e-17	3.21e-15	-22.01773914	56744
Irf5	-2.96429664	5.13274614	70.9378564	3.69e-17	3.43e-15	-7.804448239	27056
Cav1	-2.674389693	7.416906506	70.93026097	3.7e-17	3.43e-15	-6.383686011	12389
C1qc	-2.62873539	8.109613614	70.84064526	3.87e-17	3.57e-15	-6.184836214	12262
Dse	-2.831935427	5.837513339	70.7425853	4.07e-17	3.72e-15	-7.120287167	212898
Alox5ap	-3.777383919	4.258880908	70.71980246	4.12e-17	3.74e-15	-13.71215977	11690
Col6a2	-2.892478573	6.902283857	70.58372367	4.41e-17	3.98e-15	-7.425450586	12834
Cmklr1	-2.667766213	4.684936217	70.506219	4.59e-17	4.12e-15	-6.354445388	14747
Gda	-3.250290379	6.838008965	70.42068625	4.79e-17	4.27e-15	-9.515571977	14544
Cysltr1	-4.248062415	3.317639802	70.3524444	4.96e-17	4.39e-15	-19.0017767	58861
Nxpe5	-4.08923463	3.527412671	70.24108343	5.25e-17	4.62e-15	-17.0208907	381680
Cast	-2.89574426	5.699773238	70.20543418	5.34e-17	4.67e-15	-7.442277887	12380
Ifi27	-2.231007296	6.131756069	70.02863057	5.84e-17	5.08e-15	-4.694616456	52668
Dab2	-3.422982061	7.175175765	69.65137422	7.08e-17	6.11e-15	-10.72556737	13132
Cd34	-2.597196004	6.319986466	69.59739157	7.27e-17	6.24e-15	-6.051094034	12490
Slc11a1	-2.655121026	5.442597722	69.56503863	7.39e-17	6.31e-15	-6.298992206	18173
Adamts2	-2.867317689	6.125046533	69.43248782	7.91e-17	6.71e-15	-7.297072001	216725
Cd9	-2.029048089	5.929761665	69.41869741	7.96e-17	6.71e-15	-4.081354678	12527
Mmp14	-2.595272451	6.53175677	69.28979682	8.5e-17	7.12e-15	-6.043031453	17387
Atp2b4	-2.593396559	5.392515369	69.17855182	8.99e-17	7.49e-15	-6.03517899	381290
Lpxn	-3.467487622	4.666032049	69.13531626	9.19e-17	7.61e-15	-11.06159577	107321
Col6a3	-2.780851899	8.652972288	68.82202563	1.08e-16	8.87e-15	-6.872580495	12835
Lrrc32	-3.130120845	4.856635374	68.76118253	1.11e-16	9.09e-15	-8.755082933	434215
Lgmn	-2.369454995	8.805948863	68.70718238	1.14e-16	9.29e-15	-5.16745885	19141
Mfap5	-3.932136937	5.155161395	68.64744709	1.18e-16	9.52e-15	-15.26480164	50530
Litaf	-2.442284005	6.426109902	68.55490272	1.23e-16	9.92e-15	-5.435014954	56722
Ripk3	-3.357869484	3.837210771	68.50673951	1.26e-16	1.01e-14	-10.25225586	56532
Mnda	-3.456617738	5.549845962	68.42980467	1.31e-16	1.04e-14	-10.97856614	NA
Clec2d	-3.248772198	6.891966492	68.41442287	1.33e-16	1.04e-14	-9.505563789	93694
Tm6sf1	-2.512717817	4.373472961	68.41434957	1.33e-16	1.04e-14	-5.706941667	107769
Adam8	-3.264552438	6.184986684	68.32660876	1.39e-16	1.08e-14	-9.610106624	11501
Cav2	-2.408268517	5.679219017	68.15636933	1.51e-16	1.17e-14	-5.308368475	12390
Rac2	-3.286568094	5.799179675	68.10287534	1.55e-16	1.2e-14	-9.757882388	19354
AI607873	-3.2593608	5.942395389	67.77488957	1.83e-16	1.41e-14	-9.575586143	NA
Pros1	-2.805501277	5.944106589	67.7439067	1.86e-16	1.42e-14	-6.991011833	19128
Sash1	-2.345480458	5.724139743	67.58143719	2.02e-16	1.54e-14	-5.082296194	70097
Sulf1	-3.320817999	5.835313132	67.45788986	2.15e-16	1.63e-14	-9.992308362	240725
Dmd	-3.134716772	4.971428272	67.14984429	2.52e-16	1.89e-14	-8.783018073	13405
Alpk1	-2.935821745	4.547277589	67.1079304	2.57e-16	1.92e-14	-7.651919757	71481
Rhbdf1	-2.739958912	4.029073323	67.05521368	2.64e-16	1.97e-14	-6.68051309	13650
Rhoc	-2.546124774	5.278859991	66.93005757	2.81e-16	2.08e-14	-5.840633158	11853
Mmp19	-3.584438715	5.008608794	66.83782008	2.95e-16	2.17e-14	-11.99564406	58223
Ncf4	-3.16071623	4.282677659	66.80725411	2.99e-16	2.19e-14	-8.94273565	17972
Hk3	-3.32129269	5.921598419	66.80360327	3e-16	2.19e-14	-9.995596678	212032
Lmo2	-2.896764774	4.708895287	66.58983545	3.34e-16	2.42e-14	-7.447544166	16909
Cd44	-3.149085284	6.444313595	66.50634089	3.49e-16	2.51e-14	-8.870929531	12505
Car13	-2.785716904	4.508920347	66.50426621	3.49e-16	2.51e-14	-6.895795083	71934
Gm5150	-4.244901343	2.297013918	66.43813542	3.61e-16	2.58e-14	-18.96018772	381484
Ppic	-2.467564256	5.624725686	66.38777801	3.7e-16	2.63e-14	-5.531091682	19038
Maf	-2.976990916	6.154776132	66.37518819	3.73e-16	2.63e-14	-7.873422603	17132
Anxa4	-2.632621666	6.446352282	66.28686123	3.9e-16	2.74e-14	-6.201519144	11746
Wisp2	-3.694479622	4.297402999	66.26988815	3.93e-16	2.75e-14	-12.94640488	NA
Zcchc24	-3.053313448	5.192253692	66.23172116	4.01e-16	2.79e-14	-8.301162855	71918
Csf2rb	-3.244698279	5.676971324	66.12171487	4.24e-16	2.94e-14	-9.478759601	12983
Rin2	-2.758271031	5.831397843	66.0895091	4.31e-16	2.97e-14	-6.765849243	74030
Fkbp10	-2.737178027	4.632508364	65.90369485	4.74e-16	3.25e-14	-6.667648387	14230
Pycard	-2.844204907	4.668374017	65.8772082	4.8e-16	3.28e-14	-7.181100268	66824
Plod1	-2.556447132	5.454321706	65.85633346	4.85e-16	3.29e-14	-5.88257224	18822
Pbxip1	-3.280777869	5.065895438	65.69050628	5.28e-16	3.55e-14	-9.718797822	229534
Gas6	-3.092092825	6.615910734	65.69000112	5.28e-16	3.55e-14	-8.527322531	14456
Myof	-2.626371736	6.837982917	65.40347296	6.1e-16	4.09e-14	-6.174711518	226101
Adgrg6	-3.403297081	2.907621718	65.29847243	6.44e-16	4.29e-14	-10.5802153	215798
Itgam	-3.829613595	5.672620523	65.20412914	6.75e-16	4.48e-14	-14.21767439	16409
Wls	-2.606891267	5.939520792	65.10568145	7.1e-16	4.69e-14	-6.091895806	68151
Qsox1	-2.275667333	5.102290088	64.97435737	7.59e-16	4.98e-14	-4.842215654	104009
Itfg3	-2.525373445	4.764398315	64.95856902	7.65e-16	5e-14	-5.757224399	NA
Lsp1	-3.57444468	5.021427305	64.86532619	8.02e-16	5.22e-14	-11.91283335	16985
Tagln	-3.573917461	7.163971466	64.84141357	8.12e-16	5.26e-14	-11.90848072	21345
Cd109	-2.714339379	5.867427411	64.77095312	8.41e-16	5.43e-14	-6.562926969	235505
Col1a2	-2.846084669	10.05733151	64.68803203	8.77e-16	5.63e-14	-7.190462996	12843
Osmr	-3.017390249	5.522763108	64.60307515	9.16e-16	5.85e-14	-8.097015555	18414
Cd48	-2.725583735	5.060904645	64.5669566	9.33e-16	5.93e-14	-6.614278235	12506
Gnai2	-2.147336484	7.074533315	64.35017683	1.04e-15	6.6e-14	-4.43009146	14678
Arhgdib	-3.099056454	5.509031034	64.31072653	1.06e-15	6.7e-14	-8.568581873	11857
Mxra8	-2.641392743	4.494474818	64.19787643	1.13e-15	7.06e-14	-6.239337038	74761
Myl9	-2.818087981	5.458124511	64.03914735	1.22e-15	7.62e-14	-7.052271325	98932
Ehd2	-2.616755983	6.634877201	64.00914939	1.24e-15	7.7e-14	-6.133693098	259300
Dap	-2.430844234	4.486015751	63.97147208	1.26e-15	7.82e-14	-5.39208872	223453
Mmp12	-2.880933901	8.022150703	63.96249822	1.27e-15	7.82e-14	-7.366268075	17381
Il1rap	-2.539772389	4.761416313	63.71887976	1.44e-15	8.81e-14	-5.814972579	16180
Cnn2	-2.737778839	5.473077267	63.66202054	1.48e-15	9.01e-14	-6.670425717	12798
Hcls1	-2.649333004	5.29309463	63.65595497	1.48e-15	9.01e-14	-6.273771584	15163
C1qtnf6	-3.017770135	4.085991206	63.49867548	1.6e-15	9.72e-14	-8.099147919	72709
Tm4sf1	-2.335770779	5.62978338	63.14074926	1.92e-15	1.16e-13	-5.048205985	17112
Mr1	-3.432045013	3.708915418	63.12579073	1.94e-15	1.16e-13	-10.79315702	15064
Tpm2	-4.629781375	6.441614012	63.1227051	1.94e-15	1.16e-13	-24.7572879	22004
Plat	-2.756924015	4.997881786	63.10684735	1.96e-15	1.17e-13	-6.75953505	18791
Cd200	-2.69605471	4.825117871	63.00438614	2.06e-15	1.22e-13	-6.480273532	17470
Plin3	-2.859129565	4.952705012	62.72867707	2.37e-15	1.4e-13	-7.255774227	66905
Gsn	-3.81176402	7.600161254	62.64077214	2.48e-15	1.46e-13	-14.0428516	227753
Ccl8	-3.742998275	5.923182952	62.52432852	2.63e-15	1.54e-13	-13.38920388	20307
Ctss	-2.317175432	8.222851252	62.40954344	2.79e-15	1.63e-13	-4.983555626	13040
Ppm1j	-4.201945035	1.61550694	62.36528852	2.85e-15	1.66e-13	-18.40396911	71887
Lgals3	-2.502267783	7.572214145	62.32617153	2.91e-15	1.68e-13	-5.665753291	16854
Cebpd	-3.380695874	3.922476996	62.31903448	2.92e-15	1.68e-13	-10.4157576	12609
Id3	-2.396342655	4.813151974	62.15221803	3.18e-15	1.82e-13	-5.264668363	15903
Il1rn	-3.278250128	6.791256665	62.11917398	3.23e-15	1.85e-13	-9.701784461	16181
Mustn1	-3.648751453	3.228734673	62.10373602	3.26e-15	1.85e-13	-12.54248626	66175
Arap1	-2.320423897	5.784944698	62.02723818	3.39e-15	1.92e-13	-4.994789565	69710
Lat2	-3.033906162	4.009158882	61.71605105	3.97e-15	2.23e-13	-8.190242466	56743
Flnc	-4.783401441	5.170512837	61.70676076	3.99e-15	2.23e-13	-27.53894603	68794
Cebpb	-2.57331821	4.378903783	61.70343325	3.99e-15	2.23e-13	-5.951767666	12608
AI662270	-2.689032449	4.805228819	61.60075284	4.21e-15	2.35e-13	-6.448807695	100043636
Zbtb7b	-2.842095277	4.385324314	61.53936474	4.34e-15	2.41e-13	-7.170607136	22724
Fyb	-2.566372349	5.72597867	61.46229131	4.51e-15	2.5e-13	-5.923181723	23880
Metrnl	-3.197014288	4.375120372	61.42481625	4.6e-15	2.53e-13	-9.170588309	210029
Hpgds	-2.260766959	4.664838376	61.27362635	4.97e-15	2.73e-13	-4.792461887	54486
Sec24d	-1.775763977	5.788336426	61.09882527	5.43e-15	2.96e-13	-3.424192899	69608
Rgs1	-3.427268016	4.635193041	61.09438145	5.44e-15	2.96e-13	-10.75747823	50778
Col8a1	-2.79122808	7.790528642	61.05011346	5.56e-15	3.01e-13	-6.922187789	12837
Bgn	-3.08643239	8.02276233	61.04489314	5.58e-15	3.01e-13	-8.493931004	12111
Cd248	-2.70498041	4.787746165	61.01166031	5.67e-15	3.05e-13	-6.520490117	70445
Lrrc25	-3.169506567	3.98545315	60.99037087	5.74e-15	3.07e-13	-8.99739005	211228
Pik3cg	-3.308712332	4.108724788	60.90377007	5.99e-15	3.2e-13	-9.908813604	30955
Cd300lb	-2.786573611	3.889706895	60.82726743	6.23e-15	3.32e-13	-6.899891191	217304
Ccdc80	-2.970820964	6.438522927	60.75416718	6.47e-15	3.43e-13	-7.839822353	67896
Clec4n	-2.106796822	6.009219374	60.73837829	6.52e-15	3.44e-13	-4.30733885	56620
Mxra7	-2.952354009	3.341885808	60.54416534	7.19e-15	3.78e-13	-7.740109677	67622
Tgfbr2	-2.907236356	6.961741237	60.52936959	7.25e-15	3.8e-13	-7.501797689	21813
Bst1	-3.722049109	3.975548391	60.42500629	7.64e-15	3.99e-13	-13.19618596	12182
Xdh	-3.110524873	7.259242943	60.34122988	7.98e-15	4.15e-13	-8.636967572	22436
Lyn	-2.347263616	6.539741775	60.30657401	8.12e-15	4.2e-13	-5.088581753	17096
Colec12	-3.069408781	5.544989296	60.30265239	8.13e-15	4.2e-13	-8.394292766	140792
Pla2g7	-2.166985255	6.461618652	60.21994382	8.48e-15	4.36e-13	-4.49083979	27226
Ifi27l2a	-3.966581948	7.386251559	60.1515261	8.78e-15	4.5e-13	-15.63364142	76933
Myo1f	-2.474658098	5.568420465	60.0640747	9.18e-15	4.69e-13	-5.558355457	17916
Jam2	-2.466354798	5.03412562	59.89790836	9.99e-15	5.08e-13	-5.526456731	67374
B430306N03Rik	-3.001094665	4.465809174	59.7757192	1.06e-14	5.39e-13	-8.006072417	320148
Ptgr1	-2.752052663	3.587588476	59.7321138	1.09e-14	5.49e-13	-6.736749537	67103
Aqp1	-2.806573674	6.4182765	59.5515396	1.19e-14	6e-13	-6.996210386	11826
Pla2g16	-3.197046754	4.988167654	59.51382561	1.21e-14	6.09e-13	-9.170794685	NA
Abcc3	-2.282295493	5.939962487	59.4437771	1.26e-14	6.29e-13	-4.864513381	76408
Naip2	-2.622866145	4.465086087	59.38007756	1.3e-14	6.47e-13	-6.159725861	17948
Slc28a2	-3.713123987	4.770036923	59.36334462	1.31e-14	6.5e-13	-13.11480078	269346
Csrp1	-2.180635269	6.833154461	59.30784219	1.35e-14	6.67e-13	-4.533531374	13007
Lima1	-2.231104753	5.790126447	59.22612281	1.41e-14	6.93e-13	-4.694933596	65970
Col3a1	-3.01087655	11.14322006	59.17923756	1.44e-14	7.07e-13	-8.060540323	12825
